name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Blood Drive,X360,2010.0,Racing,Activision,Sidhe Interactive,0.09,0.01,0.0,40.0,6.5
World Championship Rugby,PS2,2004.0,Sports,Acclaim Entertainment,,0.06,0.04,0.0,,
The Price is Right: Decades,X360,2011.0,Misc,Ubisoft,Ludia Inc.,0.11,0.0,0.0,,tbd
Phantom Dust,XB,2004.0,Action,Microsoft Game Studios,Microsoft Game Studios Japan,0.08,0.02,0.0,81.0,8.5
Vacation Isle: Beach Party,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,Farsight Studios,0.08,0.02,0.0,,tbd
The Walking Dead: Survival Instinct,WiiU,2013.0,Shooter,Activision,Terminal Reality,0.08,0.03,0.0,,4.6
Shinseiki Evangelion: Koutetsu no Girlfriend,PS,1998.0,Adventure,Gainax Network Systems,,0.0,0.0,0.11,,
Shin Sangoku Musou: Multi Raid 2,PSP,2010.0,Action,Tecmo Koei,,0.0,0.0,0.11,,
Growlanser Generations,PS2,2003.0,Role-Playing,Atlus,Career Soft,0.06,0.04,0.0,81.0,7.7
Puyo Puyo Tetris,3DS,2014.0,Puzzle,Sega,,0.0,0.0,0.11,,
Mega Man Battle Chip Challenge,GBA,2003.0,Misc,Capcom,Capcom,0.08,0.03,0.0,54.0,8.3
Fatal Frame: Maiden of Black Water,WiiU,2014.0,Action,Nintendo,Koei Tecmo Games,0.0,0.03,0.08,67.0,7.6
Prince of Persia: Rival Swords,PSP,2007.0,Action,Ubisoft,"Pipeworks Software, Inc.",0.08,0.02,0.0,74.0,8.2
Samurai Warriors 4-II,PS3,2015.0,Action,Tecmo Koei,Omega Force,0.0,0.0,0.11,,tbd
Tom Clancy's Splinter Cell Trilogy,PS3,2011.0,Action,Ubisoft,,0.0,0.09,0.0,,
The Lord of the Rings: Aragorn's Quest,DS,2010.0,Action,Warner Bros. Interactive Entertainment,Headstrong Games,0.09,0.02,0.0,,tbd
Cold Winter,PS2,2005.0,Shooter,Vivendi Games,Swordfish Studios,0.06,0.04,0.0,73.0,8.2
Ring of Red,PS2,2000.0,Strategy,Konami Digital Entertainment,Konami,0.06,0.04,0.0,82.0,8.7
International Track & Field 2000,PS,1999.0,Sports,Konami Digital Entertainment,,0.06,0.04,0.0,,
Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,Action,THQ,Wideload Games Inc.,0.08,0.02,0.0,75.0,8.1
Batman: Dark Tomorrow,XB,2003.0,Action,Kemco,HotGen,0.08,0.02,0.0,25.0,3.6
Girl Time,DS,2009.0,Simulation,THQ,THQ,0.11,0.0,0.0,,tbd
Ping Pals,DS,2004.0,Misc,THQ,WayForward,0.1,0.0,0.0,28.0,3.9
MLB 13: The Show,PSV,2013.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,0.1,0.0,0.0,75.0,7.5
Mystery P.I. - Portrait of a Thief,DS,2008.0,Adventure,Unknown,PopCap,0.1,0.0,0.0,,tbd
18 Wheeler: American Pro Trucker,GC,2002.0,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,0.09,0.02,0.0,52.0,6.8
Naruto Ultimate Collection,PS2,2008.0,Misc,Namco Bandai Games,Namco Bandai Games America,0.06,0.04,0.0,,tbd
The King of Fighters '99,PS,2000.0,Fighting,SNK,SNK,0.0,0.0,0.11,,8.9
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015.0,Action,Namco Bandai Games,,0.0,0.0,0.11,,
Mass Destruction,PS,1997.0,Shooter,BMG Interactive Entertainment,,0.06,0.04,0.0,,
Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998.0,Adventure,Sega,,0.0,0.0,0.11,,
Split/Second,PSP,2010.0,Racing,Disney Interactive Studios,Black Rock Studio,0.08,0.02,0.0,63.0,6.7
Warhammer: Battle March,X360,2008.0,Strategy,Deep Silver,Black Hole Games,0.09,0.02,0.0,55.0,6.7
Batman: Rise of Sin Tzu,XB,2003.0,Action,Ubisoft,Ubisoft Montreal,0.08,0.02,0.0,67.0,7.7
The King of Fighters XII,X360,2009.0,Fighting,Ignition Entertainment,SNK Playmore,0.09,0.0,0.01,63.0,4.2
Super Swing Golf Season 2,Wii,2007.0,Sports,Rising Star Games,"Tecmo, Ntreev Soft",0.08,0.0,0.03,70.0,tbd
Garfield's Fun Fest,DS,2008.0,Platform,Zoo Digital Publishing,Black Lantern Studios,0.07,0.03,0.0,44.0,tbd
Queen's Blade: Spiral Chaos,PSP,2009.0,Role-Playing,Namco Bandai Games,,0.0,0.0,0.11,,
Desktop Tower Defense,DS,2009.0,Strategy,THQ,Frima Studio,0.1,0.0,0.0,,tbd
Jikkyou Powerful Pro Yakyuu '95,PS,1994.0,Sports,Konami Digital Entertainment,,0.0,0.0,0.11,,
Spy vs Spy,XB,2005.0,Action,Global Star,Vicious Cycle,0.08,0.02,0.0,53.0,8
Coraline,PS2,2009.0,Action,D3Publisher,Papaya Studios,0.06,0.04,0.0,39.0,2
Sega Touring Car Championship,SAT,1996.0,Racing,Sega,,0.0,0.0,0.11,,
Cold Fear,PS2,2005.0,Action,Ubisoft,Darkworks,0.06,0.04,0.0,68.0,7.7
Zangeki no Reginleiv,Wii,2010.0,Action,Nintendo,,0.0,0.0,0.11,,
Zubo,DS,2008.0,Misc,Electronic Arts,EA Bright Light,0.08,0.02,0.0,75.0,7.6
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,PS2,2006.0,Misc,Daito,,0.0,0.0,0.11,,
My SAT Coach with The Princeton Review,DS,2008.0,Misc,Ubisoft,,0.1,0.0,0.0,,
NHL Hitz 20-03,XB,2002.0,Sports,Midway Games,Black Box,0.08,0.02,0.0,81.0,8.5
Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,From Software,From Software,0.04,0.01,0.06,48.0,7.5
The Hardy Boys: Treasure on the Tracks,DS,2009.0,Adventure,Sega,Her Interactive,0.1,0.0,0.0,65.0,tbd
Gun Metal,XB,2002.0,Shooter,Rage Software,Rage Software,0.08,0.02,0.0,63.0,7.6
Funky Barn,3DS,2012.0,Simulation,Ubisoft,,0.07,0.03,0.0,,
Transformer: Rise of the Dark Spark,PS3,2014.0,Action,Activision,,0.04,0.04,0.01,,
Cory in the House,DS,2007.0,Action,Disney Interactive Studios,Handheld Games,0.1,0.0,0.0,,9.5
Pro Yaky? Spirits 5,PS3,2008.0,Sports,Konami Digital Entertainment,,0.0,0.0,0.11,,
BloodRayne,GC,2002.0,Shooter,Universal Interactive,Terminal Reality,0.09,0.02,0.0,73.0,8.5
MotoGP 14 ,PS3,2014.0,Racing,Milestone S.r.l.,Milestone S.r.l,0.05,0.05,0.0,,tbd
Metal Slug 4 & 5,PS2,2005.0,Shooter,SNK Playmore,,0.05,0.04,0.0,,
ECW Anarchy Rulz,PS,1999.0,Fighting,Acclaim Entertainment,Acclaim,0.06,0.04,0.0,43.0,6.3
InuYasha: A Feudal Fairy Tale,PS,2002.0,Fighting,Namco Bandai Games,Dimps Corporation,0.0,0.0,0.1,69.0,9
Where the Wild Things Are,X360,2009.0,Platform,Warner Bros. Interactive Entertainment,Griptonite Games,0.1,0.0,0.0,51.0,5.4
Toukiden 2,PSV,2016.0,Action,Tecmo Koei,,0.0,0.0,0.11,,
TMNT,PSP,2007.0,Action,Ubisoft,Ubisoft Montreal,0.1,0.0,0.0,37.0,4.1
J-League Winning Eleven 9: Asia Championship,PS2,2005.0,Sports,Konami Digital Entertainment,,0.0,0.0,0.11,,
Sabrina The Teenage Witch: Potion Commotion,GBA,2002.0,Action,Ubisoft,Ubisoft,0.08,0.03,0.0,63.0,2.8
Happy Feet Two,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,,0.08,0.02,0.0,,
Transformer: Rise of the Dark Spark,XOne,2014.0,Action,Activision,,0.07,0.03,0.0,,
Pocket Pets,DS,2007.0,Simulation,O3 Entertainment,Agatsuma Entertainment,0.1,0.0,0.0,,
Pac-Man Pinball Advance,GBA,2005.0,Misc,Zoo Digital Publishing,Human Soft,0.08,0.03,0.0,52.0,tbd
Yu Yu Hakusho: Tournament Tactics,GBA,2004.0,Strategy,Atari,Sensory Sweep,0.08,0.03,0.0,,6.8
Home Run King,GC,2002.0,Sports,Sega,Wow Entertainment,0.09,0.02,0.0,66.0,tbd
To Heart 2: Dungeon Travelers,PSP,2011.0,Adventure,Aqua Plus,,0.0,0.0,0.11,,
WWE All Stars,PS2,2011.0,Fighting,THQ,THQ,0.05,0.04,0.0,,3.4
MLB Power Pros,PS2,2007.0,Sports,Konami Digital Entertainment,Konami,0.0,0.0,0.11,80.0,8.8
Dementium II,DS,2010.0,Shooter,SouthPeak Games,Renegade Kid,0.09,0.01,0.0,75.0,8.3
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995.0,Misc,Sega,,0.0,0.0,0.11,,
GoldenEye: Rogue Agent,DS,2005.0,Shooter,Electronic Arts,"EA Tiburon, n-Space",0.1,0.0,0.0,58.0,7.5
Kousoku Card Battle: Card Hero,DS,2007.0,Strategy,Nintendo,,0.0,0.0,0.11,,
BlazBlue: Calamity Trigger Portable,PSP,2010.0,Fighting,PQube,Arc System Works,0.07,0.01,0.03,82.0,7.8
AirForce Delta Strike,PS2,2004.0,Simulation,Konami Digital Entertainment,KCE Studios,0.05,0.04,0.0,66.0,7
Tokimeki Memorial: Girl's Side 2nd Season,DS,2008.0,Adventure,Konami Digital Entertainment,,0.0,0.0,0.11,,
Disney's Peter Pan: Return to Never Land,GBA,2002.0,Platform,Ubisoft,,0.08,0.03,0.0,,
Pimp My Ride,Wii,2008.0,Racing,Activision,Eutechnyx,0.1,0.0,0.0,26.0,3.8
The Fairly Odd Parents: Breakin Da Rules,XB,2003.0,Platform,THQ,,0.08,0.02,0.0,,
Capcom vs. SNK 2 EO,GC,2002.0,Fighting,Capcom,Capcom,0.09,0.02,0.0,68.0,8.9
Hot Wheels Velocity X,GC,2002.0,Racing,THQ,Beyond Games,0.09,0.02,0.0,55.0,6.4
Open Season,X360,2006.0,Platform,Ubisoft,Ubisoft,0.1,0.0,0.0,59.0,7.3
Akiba's Trip: Undead & Undressed,PS3,2013.0,Action,Nippon Ichi Software,,0.05,0.01,0.04,,
de Blob 2,DS,2011.0,Platform,THQ,Halfbrick Studios,0.08,0.02,0.0,75.0,8.2
Call of Juarez: The Cartel,PC,2011.0,Shooter,Ubisoft,Ubisoft,0.05,0.05,0.0,51.0,3.3
Fabulous Finds,DS,2009.0,Puzzle,ValuSoft,THQ,0.1,0.0,0.0,,tbd
Let's Play Garden,DS,2010.0,Simulation,Deep Silver,Deep Silver,0.1,0.0,0.0,,tbd
EA Replay,PSP,2006.0,Action,Electronic Arts,Team Fusion,0.1,0.0,0.0,56.0,tbd
Contra Advance: The Alien Wars EX,GBA,2002.0,Shooter,Konami Digital Entertainment,Konami,0.08,0.03,0.0,70.0,tbd
Jake Hunter Detective Story: Memories of the Past,DS,2007.0,Adventure,PQube,WorkJam,0.06,0.0,0.05,72.0,tbd
Escape The Museum,Wii,2009.0,Adventure,Majesco Entertainment,Void Productions,0.1,0.01,0.0,,tbd
LEGO Ninjago: Shadow of Ronin,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,TT Fusion,0.01,0.08,0.0,70.0,tbd
Space Chimps,X360,2008.0,Platform,Brash Entertainment,Red Tribe,0.1,0.0,0.0,57.0,5.3
FIFA Soccer 06,PSP,2005.0,Sports,Electronic Arts,EA Sports,0.1,0.0,0.0,77.0,7.7
JASF: Jane's Advanced Strike Fighters,PS3,2011.0,Simulation,Deep Silver,Trickstar Games,0.07,0.03,0.0,41.0,3.1
The History Channel: Battle for the Pacific,Wii,2007.0,Shooter,Activision,FUN Labs,0.1,0.0,0.0,,5.3
Army Men: RTS,PS2,2002.0,Strategy,3DO,Pandemic Studios,0.05,0.04,0.0,68.0,tbd
Mobile Suit Gundam: MS Sensen 0079,Wii,2007.0,Simulation,Namco Bandai Games,,0.0,0.0,0.11,,
Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,Media Vision,0.0,0.1,0.0,75.0,8.5
Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,Ubisoft,Ubisoft Shanghai,0.1,0.0,0.0,68.0,5.3
The Settlers,DS,2007.0,Action,Ubisoft,Blue Byte,0.1,0.0,0.0,39.0,5.6
Stronghold,PC,2001.0,Strategy,Gathering of Developers,FireFly Studios,0.0,0.09,0.0,81.0,8.9
NCIS 3D,3DS,2011.0,Adventure,Ubisoft,Ubisoft,0.06,0.04,0.0,,tbd
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011.0,Adventure,THQ,,0.0,0.0,0.11,,
Ridge Racer Unbounded,X360,2012.0,Racing,Namco Bandai Games,Bugbear,0.05,0.05,0.0,71.0,7.7
Family Game Night 4: The Game Show,PS3,2011.0,Misc,Electronic Arts,Electronic Arts,0.08,0.02,0.0,,tbd
Mortal Kombat: Deception,GC,2005.0,Fighting,Midway Games,Midway,0.09,0.02,0.0,77.0,8.9
ESPN NHL Hockey,XB,2003.0,Sports,Sega,Kush Games,0.08,0.02,0.0,88.0,8.4
Monster Lab,PS2,2008.0,Role-Playing,Eidos Interactive,Backbone Entertainment,0.05,0.04,0.0,,tbd
Yard Sale Hidden Treasures: Sunnyville,DS,2010.0,Puzzle,Konami Digital Entertainment,Konami,0.1,0.0,0.0,,tbd
John Daly's ProStroke Golf,PS3,2010.0,Sports,O-Games,Gusto Games,0.09,0.01,0.0,58.0,4.1
XXX,GBA,2002.0,Action,Activision,Digital Eclipse,0.08,0.03,0.0,50.0,5
Maximum Force,PS,1997.0,Shooter,GT Interactive,,0.06,0.04,0.0,,
Get Up and Dance,Wii,2011.0,Misc,O-Games,Crave,0.06,0.04,0.0,,tbd
Truth or Lies,X360,2010.0,Misc,THQ,THQ,0.07,0.03,0.0,28.0,5.2
Worms Forts: Under Siege,PS2,2004.0,Strategy,Acclaim Entertainment,Team 17,0.05,0.04,0.0,63.0,8
Guitar Rock Tour,DS,2007.0,Misc,Gameloft,Ubisoft,0.1,0.0,0.0,60.0,tbd
Puzzler World 2,DS,2010.0,Puzzle,Ubisoft,Ubisoft,0.02,0.07,0.0,,tbd
Project: Snowblind,XB,2005.0,Action,Eidos Interactive,Crystal Dynamics,0.08,0.02,0.0,79.0,7
Astro Boy: The Video Game,PS2,2009.0,Action,D3Publisher,High Voltage Software,0.05,0.04,0.0,56.0,5
Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,Santa Entertainment,0.08,0.02,0.0,62.0,7.4
Surf's Up,PSP,2007.0,Sports,Ubisoft,Ubisoft Montreal,0.02,0.06,0.0,,tbd
Brave Story: New Traveler (US sales),PSP,2006.0,Role-Playing,Sony Computer Entertainment,,0.11,0.0,0.0,,
Cake Mania,DS,2007.0,Puzzle,Majesco Entertainment,Digital Embryo,0.09,0.01,0.0,55.0,6.1
Disney's Extreme Skate Adventure,XB,2003.0,Sports,Activision,Toys for Bob,0.08,0.02,0.0,76.0,8.3
Tales of Phantasia (PS1 & PSP Versions),PSP,2006.0,Role-Playing,Namco Bandai Games,,0.0,0.0,0.11,,
Kouchuu Ouja Mushi King: Super Collection,DS,2007.0,Action,Sega,,0.0,0.0,0.11,,
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GC,2003.0,Action,THQ,,0.09,0.02,0.0,,
Nickelodeon Dance,X360,2011.0,Misc,Take-Two Interactive,High Voltage Software,0.08,0.02,0.0,,tbd
Pac-Man World 2,GBA,2005.0,Action,Zoo Digital Publishing,Full Fat,0.08,0.03,0.0,,6
Odama,GC,2006.0,Misc,Nintendo,Vivarium,0.07,0.02,0.02,62.0,8
PriPara Mezase! Idol Grand Prix No.1!,3DS,2015.0,Misc,Takara Tomy,,0.0,0.0,0.11,,
Karaoke Revolution Presents American Idol Encore,X360,2008.0,Misc,Konami Digital Entertainment,Blitz Games,0.1,0.0,0.0,70.0,7
Mobile Light Force 2,PS2,2002.0,Shooter,Taito,Alfa System,0.05,0.04,0.0,59.0,tbd
Naval Ops: Warship Gunner,PS2,2003.0,Simulation,Tecmo Koei,Micro Cabin,0.05,0.04,0.0,67.0,8.9
Soma Bringer,DS,2008.0,Role-Playing,Nintendo,,0.0,0.0,0.11,,
Paws & Claws Pet Vet: Australian Adventures,DS,2009.0,Simulation,THQ,,0.1,0.0,0.0,,
Shin Sangoku Musou 6 Special,PSP,2011.0,Action,Tecmo Koei,,0.0,0.0,0.11,,
Go! Sudoku (JP sales),PSP,2005.0,Puzzle,Sony Computer Entertainment,,0.0,0.0,0.11,,
Bionicle Heroes,GC,2006.0,Shooter,Eidos Interactive,Traveller's Tales,0.08,0.02,0.0,51.0,5.2
The King of Fighters 2000/2001,PS2,2003.0,Fighting,Ignition Entertainment,SNK Playmore,0.05,0.04,0.0,71.0,8.6
Valkyrie Drive: Bhikkhuni,PSV,2015.0,Action,PQube,Marvelous Inc.,0.0,0.03,0.07,72.0,8.5
Top Gear Rally 2,N64,1999.0,Racing,Kemco,,0.09,0.02,0.0,,
Chopper Attack,N64,1997.0,Action,GT Interactive,,0.09,0.02,0.0,,
Vigilante 8: 2nd Offense,N64,2000.0,Racing,Activision,,0.09,0.02,0.0,,
Fighting Force 64,N64,1999.0,Action,Crave Entertainment,,0.09,0.02,0.0,,
Lunacy,SAT,1996.0,Adventure,Sega,,0.0,0.0,0.11,,
Snowboard Kids 2,N64,1999.0,Sports,Atlus,,0.09,0.02,0.0,,
Batman & Robin,PS,1998.0,Action,Acclaim Entertainment,,0.06,0.04,0.0,,
Tonic Trouble,N64,1999.0,Platform,Ubisoft,,0.09,0.02,0.0,,
Nuclear Strike 64,N64,1999.0,Simulation,THQ,,0.09,0.02,0.0,,
Chameleon Twist,N64,1997.0,Platform,Sunsoft,,0.09,0.02,0.0,,
DualPenSports,3DS,2011.0,Sports,Namco Bandai Games,Indies Zero,0.05,0.05,0.0,58.0,tbd
Grease,DS,2010.0,Misc,505 Games,Big Head Games Ltd.,0.1,0.0,0.0,,tbd
The King of Fighters Collection: The Orochi Saga,Wii,2008.0,Fighting,Ignition Entertainment,SNK Playmore,0.1,0.0,0.0,70.0,tbd
The Spiderwick Chronicles,X360,2008.0,Action,Vivendi Games,Stormfront Studios,0.09,0.01,0.0,59.0,tbd
Bodycount,PS3,2011.0,Shooter,Codemasters,Guildford Studio,0.05,0.05,0.0,50.0,3.5
Street Fighter Collection,SAT,1996.0,Fighting,Capcom,,0.0,0.0,0.11,,
Ninja Assault,PS2,2002.0,Shooter,Namco Bandai Games,Namco,0.05,0.04,0.0,60.0,5.3
Samurai Warriors 4,PSV,2014.0,Action,Tecmo Koei,Omega Force,0.0,0.0,0.11,76.0,8.6
Winter Stars,Wii,2011.0,Sports,Deep Silver,49Games,0.05,0.05,0.0,,tbd
Hasbro Family Game Night Fun Pack,Wii,2011.0,Misc,Electronic Arts,Virtuos,0.1,0.0,0.0,,tbd
Planet 51,PS3,2009.0,Action,Sega,Pyro Studios,0.07,0.03,0.0,50.0,tbd
GunGriffon Blaze,PS2,2000.0,Simulation,Swing! Entertainment,Game Arts,0.05,0.04,0.0,73.0,tbd
Frontier Gate,PSP,2011.0,Role-Playing,Konami Digital Entertainment,,0.0,0.0,0.11,,
Higurashi no Naku Koro ni Matsuri,PS2,2007.0,Adventure,Alchemist,,0.0,0.0,0.11,,
Army Men: Soldiers of Misfortune,DS,2008.0,Shooter,Zoo Games,Big Blue Entertainment,0.1,0.0,0.0,35.0,tbd
Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,,0.05,0.04,0.0,,
Eragon,PSP,2006.0,Action,Vivendi Games,"Amaze Entertainment, Vivendi Games",0.1,0.0,0.0,59.0,tbd
Breakout,PS,1999.0,Puzzle,Hasbro Interactive,Supersonic Software,0.06,0.04,0.0,,tbd
AKB48+Me,3DS,2012.0,Action,Unknown,,0.0,0.0,0.11,,
Alias,PS2,2004.0,Action,Acclaim Entertainment,Acclaim Studios Cheltenham,0.05,0.04,0.0,64.0,8
Sakura Taisen Hanagumi Tsuushin,SAT,1997.0,Misc,Sega,,0.0,0.0,0.11,,
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004.0,Adventure,Nintendo,,0.0,0.0,0.11,,
Calling,Wii,2009.0,Adventure,Konami Digital Entertainment,Hudson Entertainment,0.06,0.04,0.0,49.0,6.7
Yomawari,PSV,2015.0,Adventure,Nippon Ichi Software,,0.02,0.02,0.06,,
Night at the Museum: Battle of the Smithsonian,X360,2009.0,Action,Majesco Entertainment,"Majesco Games, Majesco",0.07,0.03,0.0,50.0,7.1
Pinball Hall of Fame: The Williams Collection,PSP,2008.0,Misc,System 3 Arcade Software,Farsight Studios,0.09,0.01,0.0,78.0,tbd
Spyborgs,Wii,2009.0,Action,Capcom,Bionic Games,0.09,0.01,0.0,66.0,6.3
ESA Game Pack,PS3,2010.0,Misc,Sony Computer Entertainment,Various,0.1,0.0,0.0,,tbd
Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,Simon & Schuster Interactive,,0.08,0.02,0.0,,
Invizimals: The Lost Tribes,PSP,2011.0,Action,Sony Computer Entertainment,Novarama,0.0,0.08,0.0,,tbd
NHL Rivals 2004,XB,2003.0,Sports,Microsoft Game Studios,Microsoft Game Studios,0.08,0.02,0.0,65.0,8.8
Bodycount,X360,2011.0,Shooter,Codemasters,Guildford Studio,0.07,0.03,0.0,53.0,4.7
X-Men: Next Dimension,XB,2002.0,Fighting,Activision,Paradox Development,0.08,0.02,0.0,56.0,tbd
Tyco RC: Assault with a Battery,PS,1999.0,Racing,Syscom,,0.06,0.04,0.0,,
Felony 11-79,PS,1997.0,Racing,ASCII Entertainment,,0.06,0.04,0.0,,
Machinarium,PC,2009.0,Adventure,Daedalic,Amanita Design,0.0,0.09,0.0,85.0,8.8
Avatar: The Last Airbender,PSP,2006.0,Adventure,THQ,TOSE,0.1,0.0,0.0,57.0,6.3
Death Jr.: Root of Evil,Wii,2008.0,Platform,Eidos Interactive,Backbone Entertainment,0.1,0.0,0.0,71.0,8.1
Classic Road,SNES,1993.0,Sports,Victor Interactive,,0.0,0.0,0.11,,
Panzer Dragoon Saga,SAT,1997.0,Role-Playing,Sega,,0.0,0.0,0.11,,
Michael Phelps: Push the Limit,X360,2011.0,Sports,505 Games,Blitz Games,0.09,0.01,0.0,48.0,3.5
Nicktoons: Unite!,DS,2006.0,Adventure,THQ,,0.1,0.0,0.0,,
Lost in Blue,DS,2005.0,Adventure,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.07,0.02,0.02,69.0,7.8
Wasteland 2,PS4,2015.0,Role-Playing,Deep Silver,,0.08,0.0,0.02,,
Smash Court Tennis 3,X360,2007.0,Sports,Atari,Bandai Namco Games,0.08,0.02,0.0,55.0,tbd
Batman: Return to Arkham,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,"Rocksteady Studios, Virtuos",0.05,0.05,0.0,77.0,8.2
The Scorpion King: Rise of the Akkadian,GC,2002.0,Action,Universal Interactive,Point of View,0.08,0.02,0.0,49.0,tbd
Shining Ark,PSP,2013.0,Role-Playing,Sega,,0.0,0.0,0.11,,
Transformers: Beast Wars Transmetals,PS,2000.0,Fighting,BAM! Entertainment,,0.06,0.04,0.0,,
GiFTPiA,GC,,Role-Playing,Unknown,,0.0,0.0,0.11,,
My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,,0.0,0.0,0.11,,
Backyard NFL Football '10,X360,2009.0,Sports,Atari,,0.1,0.0,0.0,,
Constantine,PS2,2005.0,Action,SCi,Bits Studios,0.05,0.04,0.0,58.0,7.4
Charlie and the Chocolate Factory,XB,2005.0,Adventure,Global Star,"High Voltage Software, Backbone Entertainment",0.08,0.02,0.0,39.0,0.5
Dynasty Tactics 2,PS2,2003.0,Strategy,Tecmo Koei,Koei,0.05,0.04,0.0,78.0,9.1
Real World Golf,PS2,2005.0,Sports,Valcon Games,"Aqua Pacific, In2Games",0.05,0.04,0.0,73.0,6.3
Winter Heat,SAT,1996.0,Sports,Sega,,0.0,0.0,0.11,,
Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004.0,Platform,Electronic Arts,Krome Studios,0.08,0.02,0.0,69.0,8.8
Hole in the Wall: Deluxe Edition,X360,2011.0,Misc,Ubisoft,Ubisoft,0.1,0.0,0.0,,tbd
Defender,GC,2002.0,Misc,Midway Games,Inevitable Entertainment,0.08,0.02,0.0,66.0,tbd
Blazblue: Continuum Shift Extend,PSV,2011.0,Fighting,PQube,Arc System Works,0.03,0.05,0.02,83.0,7.5
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005.0,Misc,Atari,,0.1,0.0,0.0,,
Mushroom Men: Rise of the Fungi,DS,2008.0,Action,SouthPeak Games,Red Fly Studio,0.1,0.0,0.0,45.0,7.3
The Polar Express,GC,2004.0,Adventure,THQ,Blue Tongue Entertainment,0.08,0.02,0.0,40.0,4.7
BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",0.08,0.02,0.0,58.0,7.8
ATV: Quad Frenzy,DS,2005.0,Racing,Majesco Entertainment,Skyworks Technologies,0.1,0.0,0.0,35.0,tbd
Touch Detective 2 1/2,DS,2007.0,Adventure,505 Games,BeeWorks,0.09,0.0,0.01,67.0,tbd
Animal Planet: Vet Life,DS,2009.0,Simulation,Activision,Activision,0.1,0.0,0.0,,tbd
Frogger: Helmet Chaos,PSP,2005.0,Platform,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.1,0.0,0.0,66.0,6.4
Picross 3D 2,3DS,2015.0,Puzzle,Nintendo,,0.0,0.0,0.11,,
Pimp My Ride,X360,2006.0,Racing,Activision,Eutechnyx,0.1,0.0,0.0,38.0,3.8
Lady Sia,GBA,2001.0,Platform,TDK Mediactive,RFX Interactive,0.08,0.03,0.0,73.0,tbd
Rock Band: Metal Track Pack,PS2,2009.0,Misc,MTV Games,Harmonix Music Systems,0.05,0.04,0.0,,tbd
Robotech: Invasion,PS2,2004.0,Shooter,Global Star,Vicious Cycle,0.05,0.04,0.0,57.0,tbd
Vacation Sports,Wii,2009.0,Sports,Ubisoft,Mere Mortals,0.09,0.01,0.0,,tbd
PDC World Championship Darts: Pro Tour,Wii,2010.0,Sports,O-Games,,0.0,0.09,0.0,,
Hollywood Squares,Wii,2010.0,Misc,Ubisoft,Ubisoft,0.1,0.0,0.0,,tbd
Dr. Seuss' The Cat in the Hat,XB,2003.0,Misc,Vivendi Games,Magenta Software,0.08,0.02,0.0,56.0,tbd
Irozuki Tingle no Koi no Balloon Trip,DS,2009.0,Adventure,Nintendo,,0.0,0.0,0.11,,
Silly Bandz: Play The Craze,DS,2010.0,Puzzle,Deep Silver,,0.1,0.0,0.0,,
RIGS: Mechanized Combat League,PS4,2016.0,Action,Sony Computer Entertainment,Guerilla Cambridge,0.03,0.05,0.01,79.0,7.9
Final Fantasy I & II,NES,1994.0,Role-Playing,Square,,0.0,0.0,0.11,,
Starsky & Hutch,GC,2003.0,Racing,BAM! Entertainment,,0.08,0.02,0.0,,
Hellboy: The Science of Evil,X360,2008.0,Action,Konami Digital Entertainment,Krome Studios,0.1,0.0,0.0,44.0,5.7
Langrisser IV,SAT,1997.0,Strategy,NCS,,0.0,0.0,0.11,,
ATV Quad Kings,DS,2010.0,Racing,Storm City Games,Beyond Reality,0.1,0.0,0.0,47.0,tbd
FoxKids.com Micro Maniacs Racing,PS,2000.0,Racing,Codemasters,,0.06,0.04,0.0,,
Hexen: Beyond Heretic,PS,1997.0,Shooter,GT Interactive,,0.06,0.04,0.0,,
